Step,Average Fitness,Survival Time,Minerals,Gas,Depth,Size,Best Individual,Best Fitness
0,3451.589355,43.75714111,647,184.75,1.54,6.22,Q(B(MMMaMa)B(EEEMa)StB(MEMaE)),4676.785645
1,3743.928467,50.18928528,930,230,1.88,8.52,Q(MaB(MaMaMaMa)B(EMME)B(MEMaMa)),4969.643066
2,3890.267822,54.52142715,1143,279.25,2.11,11.27,Q(StEQ(Q(B(MMaMMa)EMaSt)Q(MStMMa)Q(EMaMSt)Q(StMMaM))M),4791.071289
3,4058.642822,58.64642715,1336.5,313,2.18,12.55,Q(MB(MaMaEM)StB(MaMMMa)),5262.5
4,4274.143066,61.94643021,1452.5,312,2.21,12.33,Q(Q(Q(StEStSt)Q(B(MMMaM)EB(EEEE)M)Q(StEStMa)Q(EStMM))B(MMaEM)StB(MaMMaE)),7528.571289
5,4380.678711,62.76428604,1461.5,289.5,2.18,12.48,Q(Q(Q(StEStSt)Q(B(MMMaM)EB(EEEE)M)Q(StEStMa)Q(EStMM))B(MMaEM)StB(MaMMaE)),7528.571289
6,4408.196289,64.76071167,1575.5,328.25,2.34,13.92,Q(Q(Q(StMaStSt)Q(B(MMMaM)EB(EEEE)M)Q(StEStMa)Q(EStMM))B(MMaEM)StB(MaMMaE)),6712.5
7,4463.910645,65.36785889,1562.5,340.25,2.27,13.29,Q(B(MaMMMa)B(MMaEM)StB(MaMMaE)),5308.928711
8,4387.268066,65.27143097,1652,325.25,2.15,13.79,Q(MaB(MMMMa)B(EMMaE)B(MEMaMa)),5498.214355
9,4541.893066,66.99642944,1638,346.5,2.25,13.83,Q(MQ(Q(MMaMaB(EEMaMa))Q(B(MMMMa)MStSt)Q(StStMM)Q(MaEB(EMMaMa)E))StB(MaMMMa)),5755.356934
10,4409.356934,65.20357513,1613,332,2.28,14.02,Q(B(MaMaMaMa)B(EEMM)StB(MEMaM)),5266.071289
11,4481.268066,66.69642639,1657,354.25,2.23,14.13,Q(B(MaMaMaMa)B(EEMM)StB(MEMaM)),5266.071289
12,4467.625,67.27500153,1739,347.25,2.23,14.18,Q(B(MaMaMaMa)B(EEMM)StB(MEMaM)),5587.5
13,4516.321289,68.23571777,1772.5,356.5,2.28,14.87,Q(B(MaMaMaMa)B(EEMM)StB(MEMaM)),5587.5
14,4588.196289,70.21071625,1873,373.25,2.27,15.02,Q(B(MaMaMaMa)B(EEMM)StB(EEMaM)),5473.214355
15,4679.518066,70.99642944,1874.5,363.75,2.25,15.02,Q(B(MaMaMaMa)B(EEEM)StB(EEMaM)),5501.785645
16,4668.053711,70.03928375,1791,363.25,2.21,14.32,Q(MB(MaMaMaM)StB(MMaMaM)),5451.785645
17,4567.231934,69.02857208,1770.5,376.75,2.08,13.45,Q(EB(MaMaMMa)StB(MEMaM)),5455.356934
18,4613.553711,68.86428833,1731,361.25,2.04,13.22,Q(B(MaMMaMa)EQ(Q(EMESt)MaMaQ(EMaMaSt))E),5235.714355
19,4566.589355,68.03214264,1685,367.75,2.09,13.19,Q(B(MMaMaMa)B(EEMMa)StB(MEMaM)),5301.785645
20,4572.285645,68.29285431,1681,384,2.2,13.71,Q(B(MaMMMa)StStB(EEMM)),5389.285645
21,4645.339355,70.75714111,1764,444.25,2.57,17.82,Q(B(MaMMMa)Q(Q(StStB(MaEEM)M)Q(EStMaMa)Q(MMaMaB(MEMMa))Q(MStEMa))StB(MMMaM)),6007.143066
22,4822.196289,72.83571625,1801,440.25,2.54,17.17,Q(B(MaMMaMa)EQ(Q(EMaESt)MaMaQ(Q(Q(MStEB(EEEE))Q(StMStMa)Q(B(MaMMM)StStE)Q(StMaEE))MaStSt))E),14625
23,4943.268066,74.59642792,1778,492.25,3.03,19.89,Q(B(MaMMaMa)EQ(Q(EMaESt)MaMaQ(Q(Q(MStEB(EEEE))Q(StMStMa)Q(B(MaMMM)StStE)Q(StMaEE))MaStSt))E),14625
24,4962.928711,74.38928223,1730.5,497,3.29,22.01,Q(B(MaMMaMa)EQ(Q(EMaESt)MaMaQ(Q(Q(MStEMa)Q(StMStMa)Q(B(MaMMM)StStE)Q(StMaEE))MaStSt))E),14487.5
25,5525.321289,84.68571472,2047,597.5,3.45,24.07,Q(B(MaMMaMa)EQ(Q(EMaESt)MaMaQ(Q(Q(MStEMa)Q(StMStMa)Q(B(MaMMM)StStE)Q(StMaEE))MaStSt))E),14487.5
26,5738,87.84999847,2099,632,3.8,30.17,Q(B(MaMMaMa)EQ(Q(EMaESt)MaMaQ(Q(Q(MStEMa)Q(StMStMa)Q(B(MaMMM)StStE)Q(StMaEE))MaESt))E),14860.71387
27,6954.071289,110.4357147,2774,877,4.59,42.07,Q(B(MaMaMaMa)EQ(Q(EStStSt)MaEQ(MQ(Q(EStStMa)Q(StMStM)Q(EMMB(MEMM))Q(B(EMEE)StMaE))MaSt))E),14698.21387
28,8622.321289,138.1607208,3435,1172.5,5.44,49.55,Q(B(MaMaMaMa)EQ(Q(EMStSt)MaEQ(MQ(Q(EStStMa)Q(StMStM)StQ(B(EMEE)StMaE))MaSt))E),14898.21387
29,10922.75,177.375,4447,1578.5,6.21,59.71,Q(B(MaMaMaMa)EQ(Q(EMStSt)MaEQ(MQ(Q(EStStMa)Q(StMStM)StQ(B(EMEE)StMaE))MaSt))E),14898.21387
30,11131.83887,171.2821503,3833,1442.25,6.11,55.8,Q(EMaQ(Q(EMaESt)MaMaQ(Q(Q(MStEMa)Q(Q(Q(EEMSt)Q(B(MaMEMa)EMaB(MaEMaM))Q(EMaEB(MEMM))Q(MStMaM))StStMa)Q(B(MaMMM)StStE)Q(StMaEE))MaStSt))B(MaMMaM)),15362.5
31,10928,166.9499969,3677.5,1393,6.18,55.68,Q(EMaQ(Q(EMaESt)MaMaQ(Q(Q(MStEMa)Q(Q(Q(EEMSt)Q(B(MaMEMa)EMaB(MaEMaM))Q(EMaEB(MEMM))Q(StMaMaM))StStMa)Q(B(MaMMM)StStE)Q(StMaEE))MaStSt))B(MaMMaM)),15275
32,11730.08887,172.9571381,3505,1373.75,6.07,51.21,Q(B(MaMEMa)MaQ(Q(EMaESt)MaMaQ(Q(Q(MStEQ(Q(MStEMa)Q(StMStMa)Q(B(MaMMM)StStE)Q(StMaEE)))Q(StMStMa)StQ(StMaEE))MaStSt))B(MaMMaM)),15462.5
33,11287.44629,166.8857117,3349.5,1367.75,6.07,51.02,Q(B(MaMEMa)MaQ(Q(EMaESt)MaMaQ(Q(Q(MStEQ(Q(MStEMa)Q(StMStMa)Q(B(MaMMM)StStE)Q(StMaEE)))Q(StMStMa)StQ(StMaEE))MaStSt))B(MaMMaM)),15462.5
34,11019.21387,163.4571381,3277.5,1366,6.23,50.86,Q(MMaQ(Q(EMaESt)MaMaQ(Q(Q(MStEMa)Q(StMStMa)Q(B(MaMMM)MStE)Q(StMaEE))EStSt))B(MaMMaM)),14900
35,11649.05371,166.2142792,3044.5,1285.25,6.47,56.4,Q(B(MaMEE)MaQ(Q(EMaESt)MaMaQ(Q(Q(MQ(Q(MaMaB(EMaMM)M)Q(StMaMaSt)Q(EMStMa)Q(B(MaMaEE)B(EMaMM)StM))EMa)Q(StMStMa)Q(B(MaMMM)StStE)St)MaStSt))B(MaEMaM)),15600
36,11826.21387,169.2571411,3077.5,1348,6.56,58.99,Q(EMaQ(MMaMaQ(Q(Q(Q(StStStE)Q(MMMaB(EMMMa))Q(MMMSt)Q(B(MaMEM)StME))Q(StStStMa)Q(MStStE)Q(StMaEE))MaStSt))B(MaMMaM)),15550
